# x h_final q_final h_mean q_mean h_sd mean_first mean_last
3.1333152173913041 0.22602017165344082 0.11763800392756157 0.22601899901666611 0.11763956251500886 1.7374327239167456e-06 0.22601761942566079 0.22602037860767843
3.2821739130434784 0.22596715104226878 0.11763787407349731 0.22596599422035271 0.11763942723553895 1.7170649156349174e-06 0.22596463231299455 0.22596735612771607
3.4310326086956522 0.22591400226049405 0.11763774727573319 0.22591286131267801 0.11763929493944431 1.6966620917441977e-06 0.22591151717631985 0.22591420544903829
3.579891304347826 0.22586075548955925 0.11763768133410232 0.22585963042197088 0.11763922354298198 1.6760808555461463e-06 0.22585830411182373 0.22586095673212303
3.7287499999999998 0.22580745266510488 0.11763763965999405 0.22580634349385992 0.11763917646819561 1.6547982277975555e-06 0.22580503506699831 0.22580765192072003
3.877608695652174 0.22575410832936885 0.11763760296617125 0.22575301507864293 0.11763913442162202 1.6341377494241464e-06 0.22575172459517745 0.22575430556210954
4.0264673913043474 0.22570072512011247 0.11763756652027729 0.22569964781565399 0.11763909266843824 1.6136015727793371e-06 0.22569837533566281 0.22570092029565392
4.1753260869565221 0.22564730306283812 0.11763752982940003 0.22564624172956579 0.11763905071609911 1.592586159692354e-06 0.22564498731173005 0.22564749614740817
4.3241847826086959 0.22559384197904692 0.1176374929910337 0.22559279664058929 0.11763900866327003 1.571109312796849e-06 0.22559156034189132 0.22559403293929095
4.4730434782608697 0.2255403417634945 0.11763745605823039 0.22553931244217845 0.11763896656426297 1.5497170575770483e-06 0.22553809431788271 0.22554053056647702
4.6219021739130435 0.22548680234162158 0.11763741903987078 0.22548578905850417 0.1176389244291991 1.5281948410796116e-06 0.22548458916216982 0.22548698895484107
4.7707608695652173 0.22543322364281593 0.11763738193496988 0.22543222641770319 0.11763888225831177 1.5068681241536326e-06 0.22543104480119938 0.22543340803421077
4.9196195652173911 0.22537960559541589 0.11763734474245482 0.22537862444687182 0.11763884005172791 1.4850028628257872e-06 0.22537746116038748 0.22537978773335723
5.0684782608695649 0.22532594812696735 0.11763730746190497 0.22532498307232043 0.11763879781021731 1.4632922578190377e-06 0.22532383816438289 0.22532612798026203
5.2173369565217387 0.22527225116465668 0.11763727009312716 0.22527130222001696 0.11763875553475461 1.4414672201772253e-06 0.2252701757374955 0.22527242870254272
5.3661956521739134 0.22521851463544076 0.11763723263596364 0.22521758181570814 0.11763871322634467 1.4192213093753381e-06 0.22521647380382676 0.22521868982759105
